timestamp,action,btc_amount,price,pnl
2025-04-06T15:15:30.687002,buy,1.2e-05,82771.4,0
2025-04-06T15:20:32.225435,buy,1.2e-05,82620.6,0
2025-04-06T15:40:26.415010,buy,1.2e-05,82470.1,0
2025-04-06T15:40:35.735757,buy,1.2e-05,82489.2,0
2025-04-06T16:22:09.572055,buy,1.2e-05,82400.1,0
2025-04-06T16:26:00.999419,sell,1.2e-05,82496.8,-0.0033
2025-04-06T16:26:01.304972,sell,1.2e-05,82496.8,-0.0015
2025-04-06T16:26:01.573692,sell,1.2e-05,82496.8,0.0003
2025-04-06T16:26:11.432272,sell,1.2e-05,82504.6,-0.0032
2025-04-06T16:26:11.749303,sell,1.2e-05,82504.6,-0.0014
2025-04-06T16:57:17.027551,buy,1.2e-05,82548.1,0
2025-04-06T16:57:56.745177,buy,1.2e-05,82542.2,0
2025-04-06T17:07:18.485562,buy,1.2e-05,82663.0,0
2025-04-06T17:07:58.462289,buy,1.2e-05,82671.8,0
2025-04-06T17:12:19.392583,buy,1.2e-05,82430.3,0
2025-04-06T17:12:59.541577,buy,1.2e-05,82396.4,0
2025-04-06T17:22:21.532968,buy,1.2e-05,82490.7,0
2025-04-06T17:27:22.492080,buy,1.2e-05,82521.2,0
2025-04-06T17:32:23.457256,sell,1.2e-05,82511.4,-0.0031
2025-04-06T17:32:23.738714,sell,1.2e-05,82511.4,-0.0013
2025-04-06T17:32:24.012951,sell,1.2e-05,82511.4,0.0003
2025-04-06T17:32:24.285115,sell,1.2e-05,82511.4,0.0013
2025-04-06T17:32:24.554110,sell,1.2e-05,82511.4,-0.0004
2025-04-06T17:32:24.826831,sell,1.2e-05,82511.4,-0.0018
2025-04-06T17:32:25.220697,sell,1.2e-05,82511.4,0.001
2025-04-06T17:32:25.490560,sell,1.2e-05,82511.4,0.0002
2025-04-06T17:53:31.649112,buy,1.2e-05,82573.1,0
2025-04-06T17:54:32.463717,buy,1.2e-05,82627.5,0
2025-04-06T17:58:35.786835,buy,1.2e-05,82576.2,0
2025-04-06T17:59:36.593917,buy,1.2e-05,82565.8,0
2025-04-06T18:03:39.286121,buy,1.2e-05,82443.3,0
2025-04-06T18:04:40.168274,buy,1.2e-05,82453.5,0
2025-04-06T18:10:44.961588,buy,1.2e-05,82428.2,0
2025-04-06T18:11:45.761830,buy,1.2e-05,82488.5,0
2025-04-06T18:12:46.751209,buy,1.2e-05,82448.3,0
2025-04-06T18:13:47.849388,buy,1.2e-05,82455.5,0
2025-04-06T18:14:48.673152,buy,1.2e-05,82454.7,0
